Company,Ticker,Country,Rating 1-5 (1=Best),Market Cap,Industry
"Ampco-Pittsburgh Corp.","AP","United States","3","Small","Metal Products"
"APA Corp.","APA","United States","3","Large","Production & Extraction"
"Artisan Partners Asset Management","APAM","United States","3","Mid","Wealth Management"
"Air Products & Chemicals Inc.","APD","United States","2","Large","Specialty Chemicals"
"Amercian Public Education Inc.","APEI","United States","4","Small","Educational Services"
"APi Group Corp.","APG","","2","Large","Construction Services"
"Amphenol Corp.","APH","United States","3","Large","Electrical Equipment"
"Applied Digital Corp.","APLD","United States","3","Small","Internet & Software"
"Apple Hospitality REIT Inc","APLE","United States","3","Mid","REITs"
"Applied Therapeutics Inc.","APLT","United States","5","Small","Pharmaceuticals"
"Apollo Global Management Inc.","APO","United States","2","Large","Finance Intermediaries & Services"
"Apogee Enterprises Inc.","APOG","United States","3","Mid","Construction Materials"
"Applovin Corp.","APP","United States","3","Large","IT Services"
"AppFolio Inc","APPF","United States","1","Large","Internet & Software"
"Appian Corp","APPN","United States","3","Mid","Internet & Software"
"Digital Turbine Inc.","APPS","United States","3","Small","Internet & Software"
"Alpha Pro Tech Ltd.","APT","United States","3","Small","Construction Materials"
"Aptiv PLC","APTV","","2","Large","Auto Parts"
"Antero Resources Corp","AR","United States","5","Large","Production & Extraction"
"Accuray Inc.","ARAY","United States","3","Small","Medical Instruments & Equipment"
"ARC Document Solutions Inc.","ARC","United States","3","Small","Printing"
"ArcBest Corp.","ARCB","United States","4","Mid","Trucking"
"Ares Capital Corp.","ARCC","United States","2","Large","Holding and other Investment Offices"
"Arch Resources Inc","ARCH","United States","4","Mid","Mining"
"Arcturus Therapeutics Holdings Inc.","ARCT","United States","3","Small","Pharmaceuticals"
"Ardelyx Inc","ARDX","United States","3","Small","Pharmaceuticals"
"Alexandria Real Estate Equities Inc.","ARE","United States","4","Large","REITs"
"American Resources Corp","AREC","United States","4","Small","Mining"
"Ares Management Corp.","ARES","United States","3","Large","Wealth Management"
"Argo Group International Holdings Ltd.","ARGO","","3","Mid","General Insurance"
"argenx SE","ARGX","Netherlands","4","Large","Biotechnology"
"Arhaus Inc.","ARHS","United States","2","Mid","Retail - Furniture & Home Furnishings"
"Apollo Commercial Real Estate Finance Inc.","ARI","United States","3","Mid","REITs"
"Aris Water Solutions Inc.","ARIS","United States","3","Small","Sanitation Services"
"ARKO Corp.","ARKO","United States","4","Small","Retail - Food & Beverage, Drug & Tobacco"
"Ark Restaurants Corp.","ARKR","United States","3","Small","Hotels, Restaurants & Travel"
"Arlo Technologies Inc","ARLO","United States","2","Small","Household Appliances, Electronics & Goods"
"Alliance Resource Partners L.P.","ARLP","United States","3","Mid","Mining"
"Aramark","ARMK","United States","3","Large","Miscellaneous Consumer Services"
"Armata Pharmaceuticals Inc","ARMP","United States","5","Small","Biotechnology"
"Archrock Inc.","AROC","United States","2","Mid","Equipment & Services"
"Arrow Financial Corp.","AROW","United States","3","Small","Banking"
"Arcutis Biotherapeutics Inc.","ARQT","United States","3","Small","Pharmaceuticals"
"Armour Residential REIT Inc.","ARR","United States","3","Mid","REITs"
"Array Technologies Inc.","ARRY","United States","3","Mid","Electrical Equipment"
"Artesian Resources Corp.","ARTNA","United States","3","Small","Water Utilities"
"Arvinas Inc","ARVN","United States","4","Mid","Pharmaceuticals"
"Arrow Electronics Inc.","ARW","United States","3","Large","Electrical Equipment"
"Arrowhead Pharmaceuticals Inc.","ARWR","United States","3","Mid","Pharmaceuticals"
"Asana Inc.","ASAN","United States","3","Mid","IT Services"
"ASSA ABLOY AB","ASAZY","Sweden","3","Large","Metal Products"
"Associated Banc-Corp.","ASB","United States","3","Mid","Banking"
"Associated British Foods Plc","ASBFY","United Kingdom","3","Large","Food"
"Ardmore Shipping Corp","ASC","","3","Small","Shipping"
"ASGN INC","ASGN","United States","3","Mid","Business Services"
"Ashland Inc.","ASH","United States","3","Mid","Specialty Chemicals"
"AdvanSix Inc.","ASIX","United States","3","Small","Plastics"
"AerSale Corp.","ASLE","United States","3","Small","Aerospace"
"ASM International N.V.","ASMIY","Netherlands","3","Large","Semiconductors"
"ASML HOLDING NV","ASML","Netherlands","2","Large","Semiconductors"
"Academy Sports & Outdoors Inc.","ASO","United States","3","Mid","Retail - Specialty"
"Aspen Aerogels Inc","ASPN","United States","3","Small","Specialty Chemicals"
"Altisource Portfolio Solutions SA","ASPS","Luxembourg","4","Small","Business Services"
"Grupo Aeroportuario del Sureste","ASR","Mexico","3","Large","Airlines/Air Freight"
"AmeriServ Financial Inc.","ASRV","United States","3","Small","Banking"
"Astec Industries Inc.","ASTE","United States","3","Mid","Construction Services"
"Algoma Steel Group Inc.","ASTL","Canada","1","Mid","Non-Precious Metals"
"AST SpaceMobile Inc.","ASTS","United States","5","Small","Miscellaneous"
"Asure Softwaree Inc.","ASUR","United States","2","Small","Internet & Software"
"ASE Technology Holding Co. Ltd.","ASX","Taiwan","3","Large","Semiconductors"
"Amtech Systems Inc.","ASYS","United States","4","Small","Semiconductors"
"Alphatec Holdings Inc.","ATEC","United States","3","Mid","Medical Instruments & Equipment"
"A10 Networks Inc","ATEN","United States","3","Mid","Internet & Software"
"Advantest Corp.","ATEYY","Japan","3","Large","Electrical Equipment"
"Adtalem Global Education Inc.","ATGE","United States","3","Mid","Educational Services"
"Athira Pharma Inc.","ATHA","United States","5","Small","Pharmaceuticals"
"ATI Inc.","ATI","United States","3","Large","Metal Products"
"Atkore Inc","ATKR","United States","1","Large","Electrical Equipment"
"Atlanticus Holdings Corp","ATLC","United States","1","Small","Credit & Lending"
"Atlas Copco AB","ATLKY","Sweden","1","Large","Industrial Machinery & Equipment"
"Ames National Corp.","ATLO","United States","3","Small","Banking"
"ATN International Inc.","ATNI","United States","3","Small","Services"
"Atmos Energy Corp.","ATO","United States","3","Large","Gas Utilities"
"AptarGroup Inc.","ATR","United States","2","Large","Plastics"
"Atara Biotherapeutics Inc","ATRA","United States","5","Small","Biotechnology"
"Atricure Inc.","ATRC","United States","4","Mid","Medical Instruments & Equipment"
"Atrion Corp.","ATRI","United States","3","Small","Medical Instruments & Equipment"
"Astronics Corp.","ATRO","United States","3","Small","Aerospace"
"Air Transport Services Group, Inc.","ATSG","United States","3","Mid","Airlines/Air Freight"
"Altice USA Inc","ATUS","United States","2","Mid","Radio & Television"
"Activision Blizzard, Inc.","ATVI","United States","3","Large","Internet & Software"
"AngloGold Ltd.","AU","South Africa","3","Large","Precious Metals"
"Atlantic Union Bankshares Corp.","AUB","United States","3","Mid","Banking"
"Auburn National Bancorp Inc.","AUBN","United States","2","Small","Banking"
"AudioCodes Ltd.","AUDC","Israel","3","Small","Services"
"AUO Corp.","AUOTY","Taiwan","3","Mid","Electrical Equipment"
"Aurora Innovation Inc.","AUR","","5","Mid","Computer Hardware & Equipment"
"Aura Biosciences Inc.","AURA","United States","3","Small","Biotechnology"
"Avista Corp.","AVA","United States","3","Mid","Electric Utilities"
"Aveanna Healthcare Holdings Inc.","AVAH","United States","3","Small","Hospitals & Health Care Facilities"
"AeroVironment Inc.","AVAV","United States","3","Mid","Aerospace"
"AvalonBay Communities Inc.","AVB","United States","3","Large","REITs"
"American Vanguard Corp.","AVD","United States","3","Small","Agricultural Chemicals"
"AvidXchange Holdings Inc.","AVDX","United States","3","Mid","Internet & Software"
"Broadcom Ltd.","AVGO","United States","3","Large","Semiconductors"
"Avid Technology Inc.","AVID","United States","3","Mid","Computer Hardware & Equipment"
"Atea Pharmaceuticals Inc.","AVIR","United States","4","Small","Pharmaceuticals"
"Avanos Medical Inc.","AVNS","United States","3","Mid","Medical Instruments & Equipment"
"Avient Corp.","AVNT","United States","3","Mid","Specialty Chemicals"
"Aviat Networks, Inc.","AVNW","United States","3","Small","Manufacturing"
